step,traffic_pattern,injection_rate,network_load,throughput,avg_latency,network_latency,unstable,congestion_score,hotspot_detected
283,neighbor,0.007865,0.149922,0.147047,40.23,38.6,0,0.20270478791591734,0
284,neighbor,0.008172,0.157109,0.154234,40.62,38.78,0,0.19702063322644336,0
285,neighbor,0.008073,0.154266,0.151562,41.29,39.45,0,0.19946349889563392,0
286,neighbor,0.009894,0.1865,0.182844,41.29,39.45,0,0.17699897558550934,0
287,neighbor,0.009847,0.185547,0.181766,41.51,39.42,0,0.17879995605601404,0
288,neighbor,0.01012,0.191844,0.187875,41.55,39.15,0,0.17439604099376135,0
289,neighbor,0.010073,0.190594,0.186922,41.54,39.25,0,0.17394901281708722,0
290,neighbor,0.009912,0.187156,0.183156,40.91,38.79,0,0.1776370156477261,0
291,neighbor,0.014846,0.293,0.286859,42.83,38.89,0,0.10007722966489743,0
292,neighbor,0.015124,0.299844,0.293375,42.58,38.71,0,0.09517100004046655,0
293,neighbor,0.015026,0.296484,0.291312,42.85,39.25,0,0.09378100048913615,0
294,neighbor,0.014828,0.292453,0.285766,42.2,38.2,0,0.10153559926227579,0
295,neighbor,0.015149,0.299844,0.293375,42.58,38.71,0,0.09517100004046655,0
296,neighbor,0.020146,0.402156,0.393609,44.72,38.89,0,0.020699826422492077,0
297,neighbor,0.01988,0.396688,0.389031,45.07,39.44,0,0.023163408571810352,0
298,neighbor,0.019861,0.396688,0.389031,45.07,39.44,0,0.023163408571810352,0
299,neighbor,0.020012,0.399016,0.390359,45.55,39.44,0,0.02482782490048236,0
300,neighbor,0.02015,0.402656,0.395813,46.6,39.1,0,0.018339247043672374,0
301,bitcomp,0.000958,0.015125,0.014687,60.49,60.49,0,0.3436377260885706,0
302,bitcomp,0.000878,0.014188,0.01375,61.55,61.55,0,0.3475362283320084,0
303,bitcomp,0.001161,0.018562,0.018125,61.17,61.17,0,0.3375514629455934,0
304,bitcomp,0.001111,0.018562,0.018125,61.17,61.17,0,0.3375514629455934,0
305,bitcomp,0.000894,0.014188,0.01375,61.55,61.55,0,0.3475362283320084,0
306,bitcomp,0.002001,0.035875,0.035,61.34,60.99,0,0.3254461295197354,0
307,bitcomp,0.00197,0.035562,0.034688,61.52,61.03,0,0.3261123794909457,0
308,bitcomp,0.002022,0.035875,0.035,61.34,60.99,0,0.3254461295197354,0
309,bitcomp,0.001805,0.031813,0.03125,61.47,61.15,0,0.32304634352292066,0
310,bitcomp,0.001865,0.032125,0.031563,60.75,60.47,0,0.32155029767562315,0
311,bitcomp,0.002922,0.054969,0.053437,64.25,63.81,0,0.31844658377313434,0
312,bitcomp,0.003057,0.056531,0.055,65.32,64.53,0,0.31820758309226427,0
313,bitcomp,0.003092,0.057469,0.05625,65.18,64.56,0,0.3122090691287679,0
314,bitcomp,0.002913,0.054969,0.053437,64.25,63.81,0,0.31844658377313434,0
315,bitcomp,0.002964,0.055281,0.05375,65.05,64.69,0,0.3192687584729645,0
316,bitcomp,0.005069,0.094406,0.091484,73.13,72.32,0,0.3049864832011477,0
317,bitcomp,0.005053,0.094406,0.091484,73.13,72.32,0,0.3049864832011477,0
318,bitcomp,0.005079,0.095078,0.092484,72.59,71.66,0,0.30038584210439834,0
319,bitcomp,0.005145,0.096906,0.094,74.47,73.06,0,0.30427474292734763,0
320,bitcomp,0.005086,0.095078,0.092484,72.59,71.66,0,0.30038584210439834,0
321,bitcomp,0.00787,0.149672,0.142563,93.57,90.72,0,0.30997503596913345,0
322,bitcomp,0.008009,0.153516,0.146609,95.16,91.9,0,0.30719298561614145,0
